date,account_value,reward,daily_volatility,trade_count,window
2022-01-26,730037.9679331823,0.11459528654813766,17173.175,0,7
2022-01-27,718945.6852199025,-1.109228253364563,17367.925,0,7
2022-01-28,754186.063180241,3.5240378379821777,17585.785,0,7
2022-01-29,770736.359690289,1.6550296545028687,17782.704999999998,0,7
2022-01-30,770693.1913925976,-0.004316829610615969,17640.04,0,7
2022-01-31,795656.0059699483,2.496281385421753,17889.98,0,7
2022-02-01,824832.488861422,2.9176483154296875,17953.679999999997,0,7
2022-02-02,793200.4754092069,-3.163201332092285,17107.845,0,7
2022-02-03,797658.0588546129,0.4457583427429199,17308.075,0,7
2022-02-04,886251.2814885087,8.859322547912598,19289.63,0,7
2022-02-05,891294.9174014612,0.5043635964393616,19184.969999999998,0,7
2022-02-06,903978.5593132729,1.2683641910552979,19662.940000000002,0,7
2022-02-07,929156.7823472543,2.517822265625,20350.11,0,7
2022-02-08,922545.9475234551,-0.661083459854126,20463.15,0,7
2022-02-09,959582.2321025128,3.7036285400390625,20564.39,0,7
2022-02-10,909505.7847045942,-5.0076446533203125,20211.475000000002,0,7
2022-02-11,867015.1623312135,-4.2490620613098145,19723.095,0,7
2022-02-12,864440.5237284418,-0.25746387243270874,19649.495,0,7
2022-02-13,850526.3971984716,-1.391412615776062,19591.265,0,7
2022-02-14,867721.8773816152,1.719547986984253,19803.095,0,7
2022-02-15,942130.2761489721,7.440839767456055,20680.670000000002,0,7
2022-02-16,924104.1030318112,-1.8026173114776611,20375.629999999997,0,7
2022-02-17,855916.9856399007,-6.818711757659912,18811.914999999997,0,7
2022-02-18,823104.2749242826,-3.281270980834961,18597.48,0,7
2022-02-19,818550.2680518861,-0.455400675535202,18657.77,0,7
2022-02-20,776788.0427298112,-4.176222324371338,17882.449999999997,0,7
2022-02-21,760577.337117085,-1.6210705041885376,17220.07,0,7
2022-02-22,780871.5201091905,2.0294182300567627,17797.02,0,7
2022-02-23,764065.5652839036,-1.6805955171585083,17335.15,0,7
2022-02-24,769284.7281794877,0.5219162702560425,17865.505,0,7
2022-02-25,819610.731837439,5.032600402832031,18225.339999999997,0,7
2022-02-26,822753.3637965436,0.3142631947994232,18168.625,0,7
2022-02-27,775000.9667914148,-4.77523946762085,17541.14,0,7
2022-02-28,865423.0833513684,9.042211532592773,20119.524999999998,0,7
