date,account_value,reward,daily_return,daily_volatility,fear_greed,fear_greed_norm,fear_greed_mapped,window
2025-02-06,978081.9433974399,,,0.0,49.0,-0.02,-1.0,6
2025-02-07,1003836.3594113943,,,0.0,44.0,-0.12,-1.0,6
2025-02-08,1011858.9907720113,,,0.0,44.0,-0.12,-1.0,6
2025-02-09,1001155.0404503664,,,0.0,46.0,-0.08,-1.0,6
2025-02-10,1014081.1849072138,,,0.0,43.0,-0.14,-1.0,6
2025-02-11,1009646.1293153865,,,0.0,47.0,-0.06,-1.0,6
2025-02-12,1034875.73801229,,,0.0,46.0,-0.08,-1.0,6
2025-02-13,1071067.465247483,,,0.0,50.0,0.0,1.0,6
2025-02-14,1145752.1278079685,,,0.0,48.0,-0.04,-1.0,6
2025-02-15,1155584.562374755,,,0.0,50.0,0.0,1.0,6
2025-02-16,1141526.272951605,,,0.0,54.0,0.08,1.0,6
2025-02-17,1112907.612340192,,,0.0,51.0,0.02,1.0,6
2025-02-18,1072280.8295131717,,,0.0,47.0,-0.06,-1.0,6
2025-02-19,1145501.0869254123,,,0.0,44.0,-0.12,-1.0,6
2025-02-20,1124539.1732319652,,,0.0,49.0,-0.02,-1.0,6
2025-02-21,1076171.9631927935,,,0.0,55.0,0.1,1.0,6
2025-02-22,1076966.925987555,,,0.0,49.0,-0.02,-1.0,6
2025-02-23,1077929.2493706874,,,0.0,50.0,0.0,1.0,6
2025-02-24,953245.611034415,,,0.0,49.0,-0.02,-1.0,6
2025-02-25,971613.4356081141,,,0.0,25.0,-0.5,-1.0,6
2025-02-26,919731.653213155,,,0.0,21.0,-0.58,-2.0,6
2025-02-27,919857.1736544332,,,0.0,10.0,-0.8,-2.0,6
2025-02-28,897598.2154011121,,,0.0,16.0,-0.68,-2.0,6
2025-03-01,916970.2035050363,,,0.0,20.0,-0.6,-2.0,6
2025-03-02,1229934.503758499,,,0.0,26.0,-0.48,-1.0,6
2025-03-04,1000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,7
2025-03-05,1018437.0285999901,,,0.0,20.0,-0.6,-2.0,7
2025-03-06,1059299.9506999901,,,0.0,25.0,-0.5,-1.0,7
2025-03-07,971870.4084999901,,,0.0,34.0,-0.32,-1.0,7
2025-03-08,947670.43269999,,,0.0,28.0,-0.44,-1.0,7
2025-03-09,871322.3608999901,,,0.0,27.0,-0.46,-1.0,7
2025-03-10,823615.00119999,,,0.0,20.0,-0.6,-2.0,7
2025-03-11,884522.3476999901,,,0.0,24.0,-0.52,-2.0,7
2025-03-12,912429.7271999901,,,0.0,34.0,-0.32,-1.0,7
2025-03-13,917766.7588999901,,,0.0,45.0,-0.1,-1.0,7
2025-03-14,960014.8647999901,,,0.0,27.0,-0.46,-1.0,7
2025-03-15,974151.8876999901,,,0.0,46.0,-0.08,-1.0,7
2025-03-16,934511.1865999901,,,0.0,30.0,-0.4,-1.0,7
2025-03-17,952600.0573999902,,,0.0,32.0,-0.36,-1.0,7
2025-03-18,930966.7456999901,,,0.0,34.0,-0.32,-1.0,7
2025-03-19,1037625.8982999901,,,0.0,32.0,-0.36,-1.0,7
2025-03-20,992485.2026999901,,,0.0,49.0,-0.02,-1.0,7
2025-03-21,969996.3362999901,,,0.0,31.0,-0.38,-1.0,7
2025-03-22,966003.7476999902,,,0.0,32.0,-0.36,-1.0,7
2025-03-23,993788.9050999901,,,0.0,30.0,-0.4,-1.0,7
2025-03-24,998188.9006999901,,,0.0,45.0,-0.1,-1.0,7
2025-03-25,997822.2343999901,,,0.0,46.0,-0.08,-1.0,7
2025-03-26,957163.0157999902,,,0.0,47.0,-0.06,-1.0,7
2025-03-27,953740.7969999902,,,0.0,40.0,-0.2,-1.0,7
2025-03-28,899270.4810999901,,,0.0,44.0,-0.12,-1.0,7
2025-03-29,869855.6956999901,,,0.0,26.0,-0.48,-1.0,7
2025-03-30,870589.02829999,,,0.0,32.0,-0.36,-1.0,7
2025-03-31,851440.8992999902,,,0.0,34.0,-0.32,-1.0,7
2025-04-01,871322.3608999901,,,0.0,34.0,-0.32,-1.0,7
2025-04-02,824470.55589999,,,0.0,44.0,-0.12,-1.0,7
2025-04-04,1000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,8
2025-04-05,1001116.913657558,,,0.0,30.0,-0.4,-1.0,8
2025-04-06,934706.0150438419,,,0.0,34.0,-0.32,-1.0,8
2025-04-07,923435.1967047183,,,0.0,23.0,-0.54,-2.0,8
2025-04-08,873632.8985977115,,,0.0,24.0,-0.52,-2.0,8
2025-04-09,998430.4542056994,,,0.0,18.0,-0.64,-2.0,8
