date,account_value,daily_volatility,volatility,turbulence,window
2022-02-10,1155847.74365147,19711.8940217834,0.24685663149679,0.0210810212990009,4
2022-02-11,1116967.06302988,19218.5800553081,0.2420413892987,0.00654031981430927,4
2022-02-12,1113160.76961926,19146.1351601349,0.24152800158657,0.00210948799549649,4
2022-02-13,1103800.31277303,19080.5015803259,0.238757127612643,0.00140176214812912,4
2022-02-14,1120004.58646079,19293.5903504252,0.239118594366469,0.00245807303723966,4
2022-02-15,1188839.12957223,20177.6505490098,0.25154487342476,0.0306237511652366,4
2022-02-16,1169101.00033362,19876.0205176857,0.247602871289603,0.00156395895212743,4
2022-02-17,1080831.21826992,18350.9820555855,0.253969648801511,0.0360900585252157,4
2022-02-18,1056220.51914413,18120.9835498873,0.253455082821746,0.0129164512207474,4
2022-02-19,1055794.13508969,18173.5143710639,0.249394515408796,0.000886378376594108,4
2022-02-20,1007774.1736412,17412.0966275562,0.217580543231548,0.00778722692580593,4
2022-02-21,977110.865224231,16780.7776010714,0.216413834262167,0.032513372723427,4
2022-02-22,1007103.89651255,17336.9588825036,0.20981817425863,0.0144652869215689,4
2022-02-23,982806.441102096,16889.8118081424,0.208446969607738,0.00352294615936569,4
2022-02-24,1003171.84889773,17394.5017364689,0.205086056270813,0.0223780984166705,4
2022-02-25,1041963.33475827,17774.0460279444,0.207256328966656,0.0275026871268036,4
2022-02-26,1041754.50330097,17723.8228431421,0.203224769802803,0.000960041611696672,4
2022-02-27,995457.033555118,17094.6960598745,0.206240423390362,0.0101829940266423,4
2022-02-28,1129259.25887076,19591.2464718443,0.229912739236874,0.149924617264426,4
2022-03-01,1158119.6283737,20169.7521865011,0.229493509848364,0.00693665170437522,4
2022-03-02,1145239.65218383,19927.1467016028,0.229205548295927,0.00254058860276622,4
2022-03-03,1105411.28720898,19275.7103679221,0.228814645368933,0.00739026882575406,4
2022-03-04,1020575.14103439,17772.3298920766,0.235820146092371,0.0228809099847043,4
2022-03-05,1030726.70767124,17877.7771378826,0.237004415151312,0.0049527312222721,4
2022-03-06,998575.783079873,17444.650124674,0.22631313339035,0.00465127175120015,4
2022-03-07,983012.010348209,17252.3728453824,0.223681800085832,0.0132074673126252,4
2022-03-08,1007200.56598261,17583.5750972112,0.223018923191358,0.0115099340477712,4
2022-03-09,1082016.81350784,19059.9063227306,0.22278188794912,0.0417134034811049,4
2022-03-10,1023037.96732585,17904.8804587526,0.221382287986753,0.0191931829560329,4
2022-03-11,1004525.71004712,17589.6113492993,0.21751601908371,0.00373040261407157,4
2022-03-12,1007481.49413714,17623.5434513519,0.216922030235043,0.00028844733824716,4
2022-03-13,982817.515470379,17152.8427861007,0.216055028085386,0.00402285705292612,4
2022-03-14,1024844.76061611,18025.6388510076,0.218831263618332,0.013827771982474,4
2022-03-15,1022179.15715076,17835.8950745642,0.218473638400375,0.00785453823679368,4
2022-03-16,1074555.95556841,18662.1825850038,0.221435888601351,0.0101193877599889,4
2022-03-17,1076533.66959153,18560.0750530834,0.208830718275323,0.00785450582152607,4
2022-03-18,1108177.99118058,18926.8137643767,0.209245036963017,0.0123265383384384,4
2022-03-19,1117282.24882969,19132.3907708617,0.20074527484088,0.000829146334491783,4
2022-03-20,1089140.4347455,18711.8020130653,0.201964373928307,0.00216391905051919,4
2022-03-21,1088738.8712975,18582.037437721,0.20241841014676,0.00597779533703941,4
2022-03-22,1122624.55690002,19203.9757032657,0.196882799640824,0.0035432616379281,4
2022-03-23,1140504.77143946,19432.9040023106,0.184460623810692,0.00184049963917734,4
2022-03-24,1169462.02830911,19937.3481392508,0.178740084760439,0.00195052891780505,4
2022-03-25,1173669.47872714,20091.6104332286,0.17704344145682,0.00292501047170678,4
2022-03-26,1182924.28119234,20174.3161824737,0.176416638886505,0.00206982121298323,4
2022-03-27,1242666.11613319,21228.8049097923,0.17586938875851,0.0080307508050676,4
2022-03-28,1252756.06337227,21359.5450948817,0.175747923008024,0.000879495356297675,4
2022-03-29,1267343.94872866,21491.2749510126,0.17024966849523,0.00255935828579864,4
2022-03-30,1259166.00995369,21319.7183792849,0.140997079989083,0.0115482844789866,4
2022-03-31,1218576.31298415,20612.1531018706,0.141638938166585,0.0048549572749101,4
2022-04-01,1255576.60282829,20934.3585977231,0.147895193477423,0.0270955902666769,4
2022-04-02,1246037.20382221,20717.1516904279,0.149073871123222,0.00841432158506188,4
2022-04-03,1266867.93022252,20977.8623817696,0.129818970672608,0.00641785885748778,4
2022-04-04,1269438.90913817,21060.5807055588,0.128392285133965,0.00138500624603864,4
2022-04-05,1235710.69708803,20575.470012939,0.125000177930463,0.010029248272098,4
2022-04-06,1163649.68780174,19537.1574655594,0.13918074002301,0.019539287036686,4
2022-04-07,1176379.78865063,19649.4337992845,0.143443319025892,0.017783394794165,4
2022-04-08,1151516.19753197,19099.51515614,0.145758268845526,0.0154241441581915,4
2022-04-09,1169093.57582562,19320.4351410561,0.133295903790682,0.00170502530826299,4
2022-04-10,1151413.5241539,19054.3119474662,0.135579387884419,0.00261814741866627,4
2022-04-11,1076386.91161034,17870.6839561525,0.148835966651631,0.0161455127735857,4
2022-04-12,1092188.06101303,18111.8627659627,0.151997222940182,0.0344925961872352,4
2022-04-13,1122740.01496658,18595.0469806899,0.150402656767096,0.00273430782770444,4
2022-04-14,1089179.26360831,18050.3965217781,0.152303006577958,0.00376945292187803,4
2022-04-15,1101989.82460813,18332.6310131633,0.148379992606695,0.00327922372907524,4
2022-04-16,1101666.02641185,18247.169692056,0.147711548955836,0.00177199852317789,4
2022-04-17,1080041.29955846,17935.3057206716,0.149895628923995,0.00456042861686184,4
2022-04-18,1108246.31244691,18446.8763345252,0.151773911837318,0.00420061784588931,4
2022-04-19,1126262.53722789,18761.3583529889,0.149961515208797,0.00108402239489981,4
2022-04-20,1120435.55548899,18704.2849049094,0.150046464723023,0.00156408852475567,4
2022-04-21,1092892.76692796,18314.0695604936,0.152658684308168,0.00794461500030723,4
2022-04-22,1077020.7060587,17955.3502781037,0.152373473361479,0.00885939000346296,4
2022-04-23,1068461.6767496,17837.0618943934,0.152260158686228,0.00233256086592461,4
2022-04-24,1066940.04716711,17844.2185039979,0.152081124142462,0.00120565985072757,4
2022-04-25,1095164.90666212,18283.9666570419,0.152119602753392,0.00477184216773818,4
2022-04-26,1029077.3482242,17241.6895390723,0.153902649698289,0.0187350344921143,4
2022-04-27,1058900.35169857,17752.0397360403,0.154885376814076,0.00592476177690766,4
2022-04-28,1074060.8855814,17976.0897835288,0.160587870406733,0.0259405659830876,4
2022-04-29,1038244.71397681,17465.8060531281,0.162542935255988,0.0125103305742141,4
2022-04-05,1000000,0,0,0,5
2022-04-06,944599.23144,19537.1574655594,0.13918074002301,0.019539287036686,5
2022-04-07,980342.43144,19649.4337992845,0.143443319025892,0.017783394794165,5
2022-04-08,947746.43144,19099.51515614,0.145758268845526,0.0154241441581915,5
2022-04-09,959211.23144,19320.4351410561,0.133295903790682,0.00170502530826299,5
2022-04-10,940103.23144,19054.3119474662,0.135579387884419,0.00261814741866627,5
2022-04-11,887275.23144,17870.6839561525,0.148835966651631,0.0161455127735857,5
2022-04-12,929987.23144,18111.8627659627,0.151997222940182,0.0344925961872352,5
2022-04-13,952017.63144,18595.0469806899,0.150402656767096,0.00273430782770444,5
2022-04-14,932460.03144,18050.3965217781,0.152303006577958,0.00376945292187803,5
2022-04-15,938304.83144,18332.6310131633,0.148379992606695,0.00327922372907524,5
2022-04-16,938304.83144,18247.169692056,0.147711548955836,0.00177199852317789,5
2022-04-17,914251.23144,17935.3057206716,0.149895628923995,0.00456042861686184,5
2022-04-18,937180.83144,18446.8763345252,0.151773911837318,0.00420061784588931,5
2022-04-19,949544.83144,18761.3583529889,0.149961515208797,0.00108402239489981,5
2022-04-20,940777.63144,18704.2849049094,0.150046464723023,0.00156408852475567,5
2022-04-21,910429.63144,18314.0695604936,0.152658684308168,0.00794461500030723,5
2022-04-22,914251.23144,17955.3502781037,0.152373473361479,0.00885939000346296,5
2022-04-23,901887.23144,17837.0618943934,0.152260158686228,0.00233256086592461,5
2022-04-24,896716.83144,17844.2185039979,0.152081124142462,0.00120565985072757,5
2022-04-25,909080.83144,18283.9666570419,0.152119602753392,0.00477184216773818,5
2022-04-26,867717.63144,17241.6895390723,0.153902649698289,0.0187350344921143,5
2022-04-27,879856.83144,17752.0397360403,0.154885376814076,0.00592476177690766,5
2022-04-28,915375.23144,17976.0897835288,0.160587870406733,0.0259405659830876,5
2022-04-29,883678.43144,17465.8060531281,0.162542935255988,0.0125103305742141,5
2022-04-30,847935.23144,17034.7931045166,0.164720902371605,0.0145366237004202,5
2022-05-01,876709.63144,17404.849531228,0.161946046496734,0.0106669281282209,5
2022-05-02,875810.43144,17424.9670897237,0.160694707940129,0.00420517996837445,5
2022-05-03,863221.63144,17067.5536452617,0.157073094377014,0.00489144295608232,5
2022-05-04,905259.23144,17951.9633906439,0.166238009920216,0.0180070214994716,5
2022-05-05,850857.63144,16522.6860934016,0.176046685133786,0.0446518192762641,5
2022-05-06,852431.23144,16280.4137768799,0.167950783364201,0.0120094034118422,5
2022-05-07,821858.43144,16041.327708281,0.165499549572343,0.0160952947548697,5
2022-05-08,800277.63144,15393.4354669709,0.164392918942859,0.0127767337038484,5
2022-05-09,665847.23144,13605.9341941677,0.232090168050014,0.247403787914028,5
2022-05-10,717551.23144,14018.7098122671,0.248761810923371,0.0489619132006367,5
2022-05-11,610546.43144,13185.1010253416,0.283526258397336,0.178701482513046,5
2022-05-12,604926.43144,13177.4235387305,0.276641927778357,0.155004272840238,5
2022-05-13,653483.23144,13282.41841935,0.290293575268943,0.0666258203459918,5
2022-05-14,667645.63144,13647.2470348402,0.291987608692728,0.00732416464183055,5
2022-05-15,702489.63144,14209.0137535306,0.29832702649942,0.0109308895654616,5
2022-05-16,668320.03144,13554.0496163823,0.300994411740291,0.0104022953282311,5
2022-05-17,688552.03144,13806.1531466041,0.303198048931421,0.0059252000029127,5
2022-05-18,646964.03144,13034.2680748206,0.305702037458231,0.0313382884395996,5
2022-05-19,690575.23144,13761.9940425385,0.315061726634354,0.020165510946299,5
2022-05-20,679560.03144,13249.7766055608,0.315142551508105,0.0114895403883969,5
2022-05-21,702489.63144,13358.6289250082,0.317105821896773,0.00839444181473788,5
2022-05-22,718225.63144,13741.8637573826,0.318327433130921,0.00885374879975777,5
2022-05-23,713280.03144,13199.6312576686,0.31823907371851,0.018662300196164,5
2022-05-24,738232.83144,13452.2691080534,0.320972131813051,0.0198347485579699,5
2022-05-25,732388.03144,13407.9119157218,0.320388570299375,0.00559429886704272,5
2022-05-26,681358.43144,13285.7162140807,0.324530266927265,0.107024679535681,5
2022-05-27,678211.23144,13031.0124557184,0.323837365544117,0.012930013251276,5
2022-05-28,691474.43144,13204.5106642448,0.321270606122037,0.017348064315742,5
2022-05-29,687652.83144,13405.979099919,0.320015092414082,0.0110856064910883,5
2022-05-30,723620.83144,14428.9399940628,0.32341312832851,0.0767799743315774,5
2022-05-31,721597.63144,14472.9444787284,0.32100922251258,0.0185378743172366,5
2022-06-01,675513.63144,13565.4577036342,0.3265304400985,0.0150377827831618,5
2022-06-02,693272.83144,13864.5385570622,0.328143781897493,0.0074744510182067,5
2022-06-03,671467.23144,13525.4715810601,0.324079683672833,0.00157631297790132,5
2022-06-04,677536.83144,13595.5415181987,0.319836932847613,0.00457324815722604,5
2022-06-05,672591.23144,13621.722854525,0.31973569931886,0.00209469084933435,5
2022-06-06,663599.23144,14295.7764201536,0.318318911417777,0.0570713853554279,5
2022-06-07,652808.83144,14190.4194577491,0.31778192330407,0.00330021297077448,5
2022-06-08,648762.43144,13762.0076066498,0.26778133018924,0.0140624254405569,5
