date,account_value,daily_volatility,fear_greed,fear_greed_norm,window
2024-03-08,1681571.917702,31115.1614612458,81,0.62,16
2024-03-09,1691032.967702,31198.8248041004,84,0.68,16
2024-03-10,1679454.547702,31496.9848705367,79,0.58,16
2024-03-11,1760135.437702,32928.3492519743,82,0.64,16
2024-03-12,1723399.717702,32648.2869902749,81,0.62,16
2024-03-13,1734151.107702,33382.5508144542,81,0.62,16
2024-03-14,1680853.13770199,32623.4356832548,88,0.76,16
2024-03-15,1620445.307702,31756.7545323619,83,0.66,16
2024-03-16,1525575.007702,29841.0108919859,81,0.62,16
2024-03-17,1578236.467702,31272.3528044632,79,0.58,16
2024-03-18,1524436.217702,30934.657795806,77,0.54,16
2024-03-19,1367768.15770199,28354.0672216942,79,0.58,16
2024-03-20,1522734.527702,31043.7541330823,74,0.48,16
2024-03-21,1512481.087702,29947.836177074,78,0.56,16
2024-03-22,1444716.587702,29179.2278906534,75,0.5,16
2024-03-23,1441763.527702,29272.2903910078,73,0.46,16
2024-03-24,1496083.377702,30757.532956881,74,0.48,16
2024-03-25,1554728.897702,31980.6391238417,75,0.5,16
2024-03-26,1553390.927702,32033.8458894716,81,0.62,16
2024-03-27,1516092.307702,31810.3151667788,83,0.66,16
2024-03-28,1541769.207702,32412.3658520088,80,0.6,16
2024-03-29,1519794.457702,31978.1208663729,79,0.58,16
2024-03-30,1518019.15770199,31855.5636127359,75,0.5,16
2024-03-31,1578487.607702,32623.1089277772,75,0.5,16
2024-04-01,1517222.437702,31894.0676754923,79,0.58,16
2024-04-02,1419866.717702,29977.8842188752,79,0.58,16
2024-04-03,1433666.427702,30203.5338874623,71,0.42,16
2024-04-04,1440841.237702,31383.1437909061,70,0.4,16
2024-04-05,1436706.087702,31072.8750113303,79,0.58,16
2024-04-06,1451315.507702,31570.1327940827,75,0.5,16
2024-04-07,1495745.63770199,31766.6318277636,78,0.56,16
2024-04-08,1599843.167702,32777.5192353543,76,0.52,16
2024-04-09,1518343.90770199,31654.9926262196,80,0.6,16
2024-04-10,1535339.15770199,32338.6072344592,78,0.56,16
2024-04-11,1516668.197702,32055.0353658402,76,0.52,16
2024-04-12,1401884.227702,30754.4941659361,79,0.58,16
2024-04-13,1302112.367702,29312.3013348893,72,0.44,16
2024-04-14,1366239.667702,30094.6821133837,72,0.44,16
2024-04-15,1343238.707702,29053.6977096781,74,0.48,16
2024-04-16,1335544.297702,29237.3117095973,65,0.3,16
2024-04-17,1292759.567702,28074.7145461902,67,0.34,16
2024-04-18,1326962.237702,29085.7545025296,57,0.14,16
2024-04-19,1323524.217702,29250.951030568,66,0.32,16
2024-04-20,1366534.107702,29753.6181890318,66,0.32,16
2024-04-21,1363018.147702,29753.5026368284,72,0.44,16
2024-04-22,1385763.63770199,30620.4950894309,73,0.46,16
2024-04-23,1394103.217702,30424.8537921789,71,0.42,16
2024-04-24,1360043.437702,29440.7664405972,72,0.44,16
2024-04-25,1366538.437702,29534.6936128253,72,0.44,16
2024-04-26,1355929.937702,29200.7869125211,70,0.4,16
2024-04-27,1409734.517702,29028.705141701,67,0.34,16
2024-04-28,1413150.88770199,28864.216823657,65,0.3,16
2024-04-29,1392921.127702,29228.4427654103,67,0.34,16
2024-04-04,1000000,0,-1,-1,17
2024-04-05,986756.15515,31072.8750113303,79,0.58,17
2024-04-06,999729.35515,31570.1327940827,75,0.5,17
2024-04-07,997168.85515,31766.6318277636,78,0.56,17
2024-04-08,1001436.35515,32777.5192353543,76,0.52,17
2024-04-09,991365.05515,31654.9926262196,80,0.6,17
2024-04-10,1041209.45515,32338.6072344592,78,0.56,17
2024-04-11,1032503.75515,32055.0353658402,76,0.52,17
2024-04-12,1017140.75515,30754.4941659361,79,0.58,17
2024-04-13,944593.25515,29312.3013348893,72,0.44,17
2024-04-14,967296.35515,30094.6821133837,72,0.44,17
2024-04-15,943910.45515,29053.6977096781,74,0.48,17
2024-04-16,918134.75515,29237.3117095973,65,0.3,17
2024-04-17,912160.25515,28074.7145461902,67,0.34,17
2024-04-18,942886.25515,29085.7545025296,57,0.14,17
2024-04-19,946129.55515,29250.951030568,66,0.32,17
2024-04-20,974977.85515,29753.6181890318,66,0.32,17
2024-04-21,989828.75515,29753.5026368284,72,0.44,17
2024-04-22,1032333.05515,30620.4950894309,73,0.46,17
2024-04-23,1035234.95515,30424.8537921789,71,0.42,17
2024-04-24,1039673.15515,29440.7664405972,72,0.44,17
2024-04-25,1047183.95515,29534.6936128253,72,0.44,17
2024-04-26,1021237.55515,29200.7869125211,70,0.4,17
2024-04-27,1018164.95515,29028.705141701,67,0.34,17
2024-04-28,1024992.95515,28864.216823657,65,0.3,17
2024-04-29,1012361.15515,29228.4427654103,67,0.34,17
2024-04-30,987780.35515,27772.1130114464,67,0.34,17
2024-05-01,959444.15515,26698.6223277211,54,0.08,17
2024-05-02,957225.05515,27023.626330233,43,-0.14,17
2024-05-03,1002460.55515,28791.5366208972,48,-0.04,17
2024-05-04,1000241.45515,29264.462443328,67,0.34,17
2024-05-05,1010995.55515,29315.1608104752,69,0.38,17
2024-05-06,1004508.95515,28933.493965622,71,0.42,17
2024-05-07,984537.05515,28547.0969468284,68,0.36,17
2024-05-08,1005191.75515,28023.8372201821,64,0.28,17
2024-05-09,1019189.15515,28894.2278269426,55,0.1,17
2024-05-10,1000070.75515,27853.6405997576,66,0.32,17
2024-05-11,1011336.95515,27863.6982732375,53,0.06,17
2024-05-12,1015775.15515,28169.321757516,56,0.12,17
2024-05-13,1010483.45515,28851.3000996423,57,0.14,17
2024-05-14,968491.25515,28230.7847916942,66,0.32,17
2024-05-15,992218.55515,30374.8146885156,64,0.28,17
2024-05-16,972075.95515,29939.6494554372,70,0.4,17
2024-05-17,992047.85515,30746.7984898919,74,0.48,17
2024-05-18,991023.65515,30688.8260737921,73,0.46,17
2024-05-19,981123.05515,30399.6628840017,72,0.44,17
2024-05-20,1023968.75515,32699.7480844159,70,0.4,17
2024-05-21,1056231.05515,32055.3980547274,76,0.52,17
2024-05-22,1049915.15515,31605.2814920569,76,0.52,17
2024-05-23,1023456.65515,31035.3769827992,76,0.52,17
2024-05-24,1025163.65515,31320.5624990296,74,0.48,17
2024-05-25,1028748.35515,31664.264369097,76,0.52,17
2024-05-26,1024992.95515,31279.1924685365,75,0.5,17
2024-05-27,1031308.85515,31700.9019913513,74,0.48,17
2024-05-28,1027553.45515,31223.367927788,72,0.44,17
2024-05-29,1017311.45515,30890.4075647574,72,0.44,17
2024-05-30,1016287.25515,31224.4049067545,73,0.46,17
