date,account_value,reward,daily_volatility,trade_count,volatility,turbulence,window
2023-04-10,1171070.7393278126,3.1969053745269775,13461.559181673158,0,0.1483637372881657,0.013757214340906218,12
2023-04-11,1187842.9011243347,1.6772161722183228,13730.125461114896,0,0.14291294305422447,0.02225713430053414,12
2023-04-12,1177899.9205160046,-0.9942980408668518,13577.708819611487,0,0.12606695038268945,0.01843699627715341,12
2023-04-13,1196289.9017326646,1.8389980792999268,13784.819471370995,0,0.12680952807150583,0.03926104563661376,12
2023-04-14,1207749.2752972413,1.1459373235702515,13808.696523216408,0,0.12693690451804965,0.044742600520312564,12
2023-04-15,1214971.990919805,0.7222715616226196,13728.75834431019,0,0.1020609000896907,0.01053699971081607,12
2023-04-16,1249812.6483958247,3.4840657711029053,13723.47808442727,0,0.10762793058476974,0.060284621766678405,12
2023-04-17,1219301.6668607667,-3.051098108291626,13323.39660140845,0,0.10735256783705005,0.006463156222686116,12
2023-04-18,1239987.8930631927,2.068622589111328,13763.38132020455,0,0.10636226114683925,0.009781660460504965,12
2023-04-19,1168563.5590663482,-7.142433166503906,13059.88587756757,0,0.12261802703186495,0.06399498710167428,12
2023-04-20,1150715.3075597575,-1.7848252058029175,12798.445306042277,0,0.12306606114057242,0.01219191643461947,12
2023-04-21,1144002.7337621837,-0.6712573766708374,12356.104709052392,0,0.11670721161847906,0.05051255692676932,12
2023-04-22,1177743.087383695,3.374035358428955,12608.668934507807,0,0.1189664062950749,0.014425711559629479,12
2023-04-23,1171006.1882534889,-0.6736899018287659,12505.145099606889,0,0.11670507153322295,0.0006146168688563302,12
2023-04-24,1171007.9679635575,0.0001779710000846535,12471.843566434844,0,0.11670569589666906,0.0022049303621166387,12
2023-04-25,1199096.7997885467,2.8088831901550293,12836.674704395475,0,0.11714856021695329,0.007019494876373838,12
2023-04-26,1182328.350311475,-1.6768449544906616,12892.597207452896,0,0.10473539923526907,0.013696136703940449,12
2023-04-27,1197967.6641375164,1.5639313459396362,13381.234930360086,0,0.10454430878611276,0.015501735242020264,12
2023-04-28,1179643.564080582,-1.8324099779129028,13310.956307256398,0,0.1070292733266184,0.0056980734928921166,12
2023-04-29,1173375.0293562794,-0.6268534660339355,13269.625067695855,0,0.10704494214492424,0.003793667403388637,12
2023-04-30,1210042.8983104231,3.6667869091033936,13275.086208745397,0,0.11751787529823063,0.06529478381093062,12
2023-03-05,1000000.0,0.0,0.0,0,0.0,0.0,13
2023-05-05,1008237.61056,0.8237610459327698,13379.610873631564,1,0.12247133584108943,0.03893808101246112,13
2023-05-06,994032.8105599999,-1.4204800128936768,13092.117721963685,0,0.1233301245407287,0.01951928428933756,13
2023-05-07,991253.61056,-0.2779200077056885,12901.075783136157,0,0.12314538555664133,0.002659499827332574,13
2023-05-08,969020.01056,-2.223360061645508,12549.386068872942,0,0.1254995469845071,0.00807184516425049,13
2023-05-09,963770.41056,-0.5249599814414978,12530.9670694812,0,0.1254329705252784,0.0004988181858258219,13
2023-05-10,970564.01056,0.6793599724769592,12517.727268612125,0,0.12422358093730877,0.0016364037407877797,13
2023-05-11,949565.61056,-2.099839925765991,12232.798722908832,0,0.12539884544686697,0.005797384166358933,13
2023-05-12,952653.61056,0.30880001187324524,12147.977508102142,0,0.1253117427408741,0.004215539572677047,13
2023-05-13,959447.2105599999,0.6793599724769592,12140.777756769403,0,0.12449290923962122,0.0020736641741312557,13
2023-05-14,963770.41056,0.4323199987411499,12206.55430291721,0,0.12376136135844001,0.00026807422708261794,13
2023-05-15,967784.8105599999,0.40143999457359314,12317.692433204453,0,0.12304580914687209,0.00044267978492042946,13
2023-05-16,961608.8105599999,-0.6176000237464905,12256.077124732858,0,0.11322168986972239,0.0017887104474387952,13
2023-05-17,970564.01056,0.8955199718475342,12430.819939205765,0,0.1121863376182027,0.006057962137400894,13
2023-05-18,955124.01056,-1.5440000295639038,12161.621644548704,0,0.11231950079123226,0.006257116235079491,13
